"z_80","porosity","ux","uz","utx","utz","tautxz","udx","udz","tausxz"
0.018748132450331127,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01851949668874172,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01829086092715232,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.018062225165562915,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.017833589403973508,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.017604953642384104,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.017376317880794703,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0171476821192053,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.016919046357615892,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01669041059602649,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.016461774834437084,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01623313907284768,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01600450331125828,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015775867549668875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015547231788079468,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015318596026490067,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015089960264900663,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01486132450331126,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.014632688741721855,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.014404052980132451,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.014175417218543047,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.013946781456953643,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01371814569536424,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.013489509933774835,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.013260874172185431,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.013032238410596027,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012803602649006623,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012574966887417216,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012346331125827816,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012117695364238412,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011889059602649008,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011660423841059604,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0114317880794702,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011203152317880796,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.010974516556291392,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.010745880794701988,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.010517245033112584,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01028860927152318,1.0,0.40574899315834045,-0.0027744279359467328,0.05470517637499999,0.032789643125,0.01532761837499999,0.010112316449999999,0.011531267125000001,0.024279592500000002
0.010059973509933776,1.0,0.40868619084358215,-0.0026408683479530737,0.049649097375,0.029703002875000002,-0.010069660374999997,0.009137495075,0.011716198875000002,0.019725347499999997
0.009831337748344372,1.0,0.40916842222213745,-0.002300024512805976,0.045702696125000004,0.02672073925,-0.03058970475,0.008421441449999999,0.011766865500000001,0.0147962434125
